Date,Worker,Company,Hours,"Rate per Hour",Taxable,Status,"Shift Type","Paid At"
2023-04-03,"Kirsten Cox","Parker Ltd",13,£18,Yes,Pending,Day,
2023-04-03,"Mohammed Simpson","Shaw Ltd",13,£13,Yes,Complete,Day,"2023-05-08 20:39:59"
2023-04-03,"Elliot Saunders","Bailey Ltd",16,£10,Yes,Pending,Day,
2023-04-03,"Elliot Saunders","Williams Ltd",14,£11.46,Yes,Processing,Day,
2023-04-03,"Isobel Stevens","Davies Ltd",6,£13.18,Yes,Complete,Night,"2023-04-22 11:02:05"
2023-04-03,"Mary Bell","Cook Ltd",13,£11,Yes,Pending,Day,
2023-04-03,"Kirsten Cox","Morgan Ltd",11,£13,Yes,Complete,Day,"2023-04-05 22:09:18"
2023-04-03,"Elliot Saunders","Young Ltd",11,£18,Yes,Complete,Day,"2023-05-20 03:26:42"
2023-04-03,"Louis Williams","Simpson Ltd",9,£16.89,No,Complete,Day,"2023-05-22 20:51:22"
2023-04-03,"Isabel Baker","Holmes Ltd",4,£13.96,No,Pending,Day,
2023-04-03,"Dale Khan","Robinson Ltd",12,£19,Yes,Pending,Day,
2023-04-03,"Kimberly Richards","Morgan Ltd",14,£17,No,Pending,Day,
2023-04-03,"Elliott Jackson","Powell Ltd",15,£11,Yes,Complete,Day,"2023-05-28 21:21:54"
2023-04-03,"Megan Bell","Thompson Ltd",12,£13,Yes,Complete,Day,"2023-05-05 13:42:59"
2023-04-03,"Kimberly Richards","Murray Ltd",14,£18,Yes,Complete,Day,"2023-04-29 16:59:07"
2023-04-03,"Kelly Edwards","Richards Ltd",11,£15,Yes,Complete,Day,"2023-04-07 13:28:42"
2023-04-03,"Sebastian James","Ross Ltd",7,£17,Yes,Complete,Day,"2023-04-23 19:36:43"
2023-04-03,"Sebastian James","Stewart Ltd",2,£19.15,Yes,Complete,Day,"2023-04-08 06:01:10"
2023-04-03,"Kelly Edwards","Phillips Ltd",5,£19,Yes,Complete,Day,"2023-04-21 11:26:34"
2023-04-03,"Kelly Edwards","Harris Ltd",7,£14,Yes,Pending,Day,
2023-04-03,"Dale Chapman","Cox Ltd",5,£13.14,Yes,Pending,Night,
2023-04-03,"Kimberly Richards","Lloyd Ltd",14,£12.25,Yes,Complete,Day,"2023-04-23 04:51:59"
2023-04-03,"Dale Chapman","Clark Ltd",3,£12.95,Yes,Pending,Day,
2023-04-03,"Kimberly Richards","Murray Ltd",1,£12.05,No,Complete,Day,"2023-06-01 23:57:30"
2023-04-03,"Megan Bell","Murray Ltd",9,£20,Yes,Pending,Day,
2023-04-03,"Leo Murray","Smith Ltd",13,£12,No,Complete,Holiday,"2023-05-01 15:12:40"
2023-04-03,"Leo Murray","Rogers Ltd",14,£10.07,Yes,Pending,Day,
2023-04-03,"Megan Bell","Shaw Ltd",13,£17,Yes,Complete,Day,"2023-04-12 13:06:10"
2023-04-03,"Isabel Baker","Davies Ltd",1,£16,Yes,Complete,Night,"2023-05-25 09:39:36"
2023-04-03,"Kimberly Richards","Robertson Ltd",11,£19,Yes,Processing,Day,
2023-04-03,"Kelly Edwards","Ward Ltd",12,£12,No,Complete,Day,"2023-04-26 13:54:00"
2023-04-03,"Sarah Butler","Rose Ltd",12,£10,Yes,Complete,Day,"2023-04-25 20:36:53"
2023-04-03,"Kimberly Richards","Davis Ltd",14,£18.05,Yes,Complete,Day,"2023-05-19 02:29:38"
2023-04-03,"Freya Cox","Taylor Ltd",4,£12.79,Yes,Complete,Day,"2023-04-26 23:51:43"
2023-04-03,"Freya Cox","King Ltd",13,£18,Yes,Complete,Day,"2023-05-19 01:46:56"
2023-04-03,"Dale Chapman","Cook Ltd",15,£13,No,Complete,Night,"2023-05-15 00:06:23"
2023-04-03,"Kelly Edwards","Stewart Ltd",3,£16,No,Pending,Day,
2023-04-03,"Sebastian James","Butler Ltd",3,£16.38,Yes,Complete,Day,"2023-05-30 19:27:06"
2023-04-03,"Louis Williams","Butler Ltd",2,£11.96,Yes,Complete,Day,"2023-04-08 04:23:25"
2023-04-03,"Kimberly Richards","James Ltd",8,£17.65,No,Processing,Night,
2023-04-03,"Michael Bennett","James Ltd",14,£18,No,Pending,Day,
2023-04-03,"Michael Bennett","Murray Ltd",12,£12,Yes,Complete,Night,"2023-04-05 14:16:43"
2023-04-03,"Elliott Jackson","Simpson Ltd",16,£15.37,No,Failed,Day,
2023-04-03,"Sebastian James","Rose Ltd",15,£19,Yes,Complete,Night,"2023-05-24 23:04:24"
2023-04-03,"Mohammed Simpson","Taylor Ltd",10,£10.6,Yes,Complete,Day,"2023-05-30 02:40:29"
2023-04-03,"Oliver Butler","Williams Ltd",3,£20,Yes,Complete,Day,"2023-04-10 01:00:40"
2023-04-03,"Poppy Hill","Davis Ltd",14,£14,Yes,Complete,Night,"2023-04-30 18:12:05"
2023-04-03,"Candice Wright","Carter Ltd",1,£14.65,No,Processing,Day,
2023-04-03,"Mia Kelly","Robertson Ltd",8,£17.79,Yes,Complete,Day,"2023-05-25 01:51:49"
2023-04-03,"Joshua Harris","Clark Ltd",4,£10.67,Yes,Pending,Day,
2023-04-03,"Freya Patel","Davis Ltd",13,£15,Yes,Complete,Day,"2023-04-23 00:56:28"
2023-04-03,"Will Wilson","Cooper Ltd",4,£18.32,No,Pending,Day,
2023-04-03,"Shannon Lee","Carter Ltd",16,£16,No,Complete,Day,"2023-05-20 06:50:26"
2023-04-03,"Shannon Lee","Parker Ltd",5,£19,No,Pending,Night,
2023-04-03,"Mason Richards","Shaw Ltd",1,£14,No,Complete,Day,"2023-05-13 14:02:00"
2023-04-03,"Dale Khan","Baker Ltd",13,£12,No,Complete,Day,"2023-04-15 14:41:08"
2023-04-03,"Linda Powell","Clark Ltd",6,£19,Yes,Complete,Day,"2023-05-04 14:19:55"
2023-04-03,"Shannon Lee","Clarke Ltd",8,£20,No,Failed,Night,
2023-04-03,"Gary O'Neil","King Ltd",1,£10,No,Failed,Day,
2023-04-03,"Freya Patel","Stewart Ltd",16,£10,Yes,Pending,Day,
2023-04-03,"Linda Powell","Cox Ltd",15,£12,Yes,Complete,Day,"2023-05-24 22:00:15"
2023-04-03,"Mason Richards","Clarke Ltd",16,£13.39,Yes,Complete,Night,"2023-06-01 12:01:39"
2023-04-03,"Sofia Palmer","Smith Ltd",8,£10,Yes,Pending,Night,
2023-04-03,"Dale Khan","Bailey Ltd",11,£11.07,Yes,Pending,Day,
2023-04-03,"Joshua Harris","Williams Ltd",2,£11,Yes,Pending,Day,
2023-04-03,"Mason Richards","Chapman Ltd",11,£17,Yes,Complete,Day,"2023-05-27 18:02:16"
2023-04-03,"Linda Powell","Davis Ltd",9,£18,Yes,Complete,Day,"2023-04-26 04:42:27"
2023-04-03,"Linda Powell","Davies Ltd",16,£20,Yes,Pending,Day,
2023-04-03,"Mason Richards","Hughes Ltd",13,£18.02,Yes,Pending,Day,
2023-04-03,"Dale Khan","Griffiths Ltd",4,£15,Yes,Pending,Day,
2023-04-03,"Sofia Palmer","Chapman Ltd",12,£13.71,Yes,Complete,Night,"2023-04-17 01:08:38"
2023-04-03,"Dale Chapman","Harris Ltd",3,£19,Yes,Pending,Day,
2023-04-03,"Freya Patel","Rogers Ltd",10,£20,Yes,Complete,Day,"2023-05-15 23:32:15"
2023-04-03,"Joshua Harris","Clark Ltd",15,£11,Yes,Complete,Day,"2023-04-10 15:37:29"
2023-04-03,"Shannon Lee","James Ltd",15,£16,Yes,Complete,Day,"2023-05-06 17:33:54"
2023-04-04,"Edward Wilson","Richards Ltd",2,£10,Yes,Pending,Day,
2023-04-04,"Mohammed Simpson","Morgan Ltd",14,£12,Yes,Complete,Night,"2023-05-19 15:59:52"
2023-04-04,"Kirsten Cox","Harris Ltd",3,£11,No,Complete,Day,"2023-05-30 09:08:57"
2023-04-04,"Abigail Lewis","Murray Ltd",10,£17,Yes,Complete,Day,"2023-05-30 02:11:09"
2023-04-04,"Bruce Rogers","Powell Ltd",11,£11.14,Yes,Pending,Day,
2023-04-04,"Eden Parker","Smith Ltd",1,£18,Yes,Complete,Day,"2023-04-29 00:28:18"
2023-04-04,"Sarah Butler","Robertson Ltd",4,£17,Yes,Pending,Day,
2023-04-04,"Abigail Lewis","Clark Ltd",4,£18,Yes,Complete,Day,"2023-04-16 18:46:22"
2023-04-04,"Leo Murray","Chapman Ltd",10,£20,No,Pending,Day,
2023-04-04,"Dale Chapman","Murray Ltd",15,£19,No,Pending,Night,
2023-04-04,"Abigail Lewis","Rose Ltd",9,£13,Yes,Pending,Day,
2023-04-04,"Mohammed Simpson","Cook Ltd",11,£20,No,Complete,Day,"2023-04-27 10:03:10"
2023-04-04,"Mason Richards","Shaw Ltd",16,£18,No,Complete,Day,"2023-05-22 06:00:12"
2023-04-04,"Kimberly Richards","Hughes Ltd",10,£11,Yes,Complete,Day,"2023-04-04 08:04:42"
2023-04-04,"Freya Cox","Clark Ltd",16,£12.47,Yes,Complete,Day,"2023-05-22 00:21:05"
2023-04-04,"Will Wilson","Cooper Ltd",9,£11,Yes,Complete,Day,"2023-04-17 15:05:42"
2023-04-04,"Leo Murray","Rogers Ltd",8,£10.09,No,Complete,Night,"2023-04-30 20:58:16"
2023-04-04,"Kimberly Richards","Powell Ltd",10,£10,Yes,Complete,Day,"2023-05-11 23:04:49"
2023-04-04,"Kimberly Richards","Simpson Ltd",16,£11.63,Yes,Pending,Day,
2023-04-04,"Elliot Saunders","Smith Ltd",9,£14,Yes,Pending,Day,
2023-04-04,"Dale Chapman","Hughes Ltd",4,£12,Yes,Complete,Day,"2023-04-12 04:36:03"
2023-04-04,"Candice Wright","Jackson Ltd",6,£16,Yes,Complete,Day,"2023-05-28 13:34:15"
2023-04-04,"Abigail Lewis","Harris Ltd",6,£20,Yes,Complete,Day,"2023-05-14 05:19:56"
2023-04-04,"Abigail Lewis","Hughes Ltd",2,£20,Yes,Failed,Night,
2023-04-04,"Mohammed Simpson","Clarke Ltd",4,£18,Yes,Pending,Day,
2023-04-04,"Dale Chapman","Bailey Ltd",10,£20,Yes,Pending,Day,
2023-04-04,"Sarah Butler","Khan Ltd",1,£11.77,Yes,Complete,Night,"2023-05-25 06:32:12"
2023-04-04,"Abigail Lewis","Williams Ltd",5,£13,Yes,Pending,Night,
2023-04-04,"Louis Williams","Cooper Ltd",14,£17,Yes,Complete,Day,"2023-04-09 20:01:39"
2023-04-04,"Freya Cox","Cox Ltd",15,£17,Yes,Complete,Day,"2023-04-28 20:34:44"
2023-04-04,"Shannon Lee","Griffiths Ltd",11,£18.03,Yes,Complete,Day,"2023-05-09 07:00:32"
2023-04-04,"Mary Bell","Baker Ltd",7,£19.36,No,Complete,Day,"2023-05-13 05:52:03"
2023-04-04,"Leo Murray","Chapman Ltd",6,£16.24,Yes,Pending,Day,
2023-04-04,"Megan Bell","Shaw Ltd",6,£10,Yes,Pending,Day,
2023-04-04,"Mia Kelly","Knight Ltd",11,£20,Yes,Processing,Night,
2023-04-04,"Leo Murray","Baker Ltd",14,£17,Yes,Complete,Day,"2023-05-07 10:21:37"
2023-04-04,"Sofia Palmer","Taylor Ltd",15,£19,No,Failed,Day,
2023-04-04,"Isabella Reid","Powell Ltd",12,£20,Yes,Complete,Day,"2023-05-13 01:36:27"
2023-04-04,"Mary Bell","Bailey Ltd",10,£13,Yes,Pending,Day,
2023-04-04,"Bruce Rogers","Robertson Ltd",10,£19,No,Failed,Day,
2023-04-04,"Isabel Baker","James Ltd",16,£17,Yes,Complete,Day,"2023-05-02 02:07:45"
2023-04-04,"Linda Powell","Murray Ltd",6,£19,Yes,Pending,Night,
2023-04-04,"Eden Parker","King Ltd",3,£19,Yes,Complete,Day,"2023-05-16 14:01:26"
2023-04-04,"Leo Murray","Holmes Ltd",12,£11.15,Yes,Pending,Day,
2023-04-04,"Eden Graham","Cooper Ltd",6,£12,Yes,Complete,Night,"2023-04-26 18:19:13"
2023-04-04,"Shannon Lee","Anderson Ltd",3,£17.55,No,Complete,Day,"2023-04-16 01:51:18"
2023-04-04,"Mason Richards","Jackson Ltd",3,£10,No,Complete,Night,"2023-05-20 04:03:05"
2023-04-04,"Mason Richards","Chapman Ltd",2,£18,Yes,Pending,Day,
2023-04-04,"Shannon Lee","Baker Ltd",5,£15,Yes,Complete,Day,"2023-04-09 16:48:47"
2023-04-04,"Oliver Butler","Parker Ltd",11,£18.48,Yes,Pending,Day,
2023-04-04,"Sarah Butler","Smith Ltd",16,£12.01,Yes,Complete,Holiday,"2023-05-13 12:37:46"
2023-04-04,"Kimberly Richards","Cook Ltd",13,£12.01,Yes,Complete,Night,"2023-04-26 01:52:08"
2023-04-04,"Will Wilson","Knight Ltd",3,£12,No,Complete,Day,"2023-05-19 00:56:28"
2023-04-04,"Louis Williams","Cox Ltd",13,£10,Yes,Pending,Day,
2023-04-04,"Isabella Reid","Phillips Ltd",5,£15.95,Yes,Complete,Day,"2023-04-13 12:39:15"
2023-04-04,"Leo Murray","Turner Ltd",1,£13,No,Complete,Day,"2023-04-12 02:49:38"
2023-04-04,"Michael Bennett","Williams Ltd",12,£19.56,Yes,Complete,Day,"2023-04-17 09:40:53"
2023-04-04,"Isobel Stevens","Lee Ltd",8,£10,Yes,Pending,Day,
2023-04-04,"Shannon Lee","Shaw Ltd",4,£16.54,Yes,Complete,Day,"2023-05-30 05:18:27"
2023-04-04,"Leo Murray","Clark Ltd",1,£15.81,Yes,Failed,Day,
2023-04-04,"Isabella Reid","Richardson Ltd",10,£10.65,Yes,Complete,Day,"2023-04-29 05:42:21"
2023-04-04,"Abigail Lewis","Brown Ltd",2,£11,No,Complete,Day,"2023-05-15 02:50:02"
2023-04-04,"Louis Williams","Phillips Ltd",8,£13,Yes,Pending,Day,
2023-04-04,"Dale Chapman","Jackson Ltd",5,£12,No,Complete,Day,"2023-04-22 05:34:17"
2023-04-04,"Eden Parker","Cooper Ltd",4,£11,Yes,Complete,Day,"2023-04-08 04:32:55"
2023-04-04,"Kelly Edwards","Murray Ltd",15,£11,Yes,Complete,Day,"2023-04-29 03:13:25"
2023-04-04,"Megan Bell","Turner Ltd",8,£17,Yes,Complete,Day,"2023-04-27 09:04:06"
2023-04-04,"Michael Bennett","Griffiths Ltd",12,£17.52,Yes,Complete,Day,"2023-05-09 00:28:51"
2023-04-04,"Mohammed Simpson","Wilson Ltd",14,£13.07,Yes,Processing,Day,
2023-04-04,"Mia Kelly","Morris Ltd",5,£10,No,Complete,Day,"2023-05-31 09:46:47"
2023-04-04,"Sebastian James","James Ltd",7,£17,Yes,Processing,Day,
2023-04-04,"Freya Cox","Chapman Ltd",2,£20,Yes,Complete,Night,"2023-04-20 19:58:10"
2023-04-04,"Louis Williams","Cooper Ltd",14,£20,Yes,Complete,Day,"2023-05-03 18:12:55"
2023-04-04,"Sofia Palmer","Carter Ltd",7,£14.6,Yes,Complete,Day,"2023-05-17 12:47:55"
2023-04-04,"Freya Cox","Bailey Ltd",9,£13,Yes,Complete,Day,"2023-04-28 00:18:27"
2023-04-04,"Kimberly Richards","Griffiths Ltd",9,£12,No,Failed,Day,
2023-04-04,"Kelly Edwards","Moore Ltd",10,£16.8,Yes,Pending,Holiday,
2023-04-04,"Elliott Jackson","Knight Ltd",4,£17,Yes,Complete,Day,"2023-05-11 00:21:27"
2023-04-04,"Louis Williams","Khan Ltd",5,£14,Yes,Complete,Day,"2023-04-21 14:54:51"
2023-04-04,"Kelly Edwards","Chapman Ltd",10,£11,Yes,Complete,Night,"2023-04-13 01:56:26"
2023-04-04,"Sebastian James","Murray Ltd",15,£12.19,Yes,Pending,Day,
2023-04-04,"Kelly Edwards","Jackson Ltd",2,£11,No,Complete,Day,"2023-04-29 14:52:33"
2023-04-04,"Sarah Butler","Rogers Ltd",10,£15.3,No,Processing,Day,
2023-04-04,"Poppy Hill","Turner Ltd",3,£18,Yes,Pending,Day,
2023-04-04,"Candice Wright","Shaw Ltd",12,£17,No,Complete,Night,"2023-04-06 03:21:11"
2023-04-04,"Candice Wright","Thompson Ltd",16,£14.82,No,Pending,Day,
2023-04-04,"Sophia Murray","Clark Ltd",10,£12,Yes,Pending,Day,
2023-04-04,"Freya Patel","Smith Ltd",14,£20,Yes,Complete,Day,"2023-05-11 10:04:09"
2023-04-04,"Leo Murray","Shaw Ltd",10,£15,Yes,Complete,Day,"2023-05-02 04:18:35"
2023-04-04,"Joshua Harris","James Ltd",5,£19.37,Yes,Pending,Day,
2023-04-04,"Elliot Saunders","Hughes Ltd",15,£18,Yes,Complete,Day,"2023-04-20 22:14:30"
2023-04-04,"Kimberly Richards","Bailey Ltd",6,£15,Yes,Complete,Night,"2023-05-30 11:00:04"
2023-04-04,"Leo Murray","Jackson Ltd",9,£19,Yes,Complete,Day,"2023-05-23 23:46:52"
2023-04-04,"Will Wilson","Smith Ltd",11,£19.5,Yes,Complete,Day,"2023-05-03 09:10:30"
2023-04-04,"Candice Wright","Turner Ltd",8,£19.18,Yes,Complete,Day,"2023-04-25 18:28:14"
2023-04-04,"Linda Powell","Stewart Ltd",6,£15,Yes,Pending,Night,
2023-04-04,"Elliot Saunders","Ross Ltd",5,£16,Yes,Pending,Day,
2023-04-04,"Sofia Palmer","Shaw Ltd",11,£14.73,Yes,Complete,Day,"2023-05-26 15:48:53"
2023-04-04,"Dale Khan","Brown Ltd",14,£20,No,Complete,Day,"2023-05-14 23:03:25"
2023-04-04,"Mason Richards","Hughes Ltd",7,£16.06,Yes,Complete,Day,"2023-04-16 14:38:34"
2023-04-04,"Freya Patel","Turner Ltd",4,£18.01,Yes,Complete,Day,"2023-04-16 03:11:43"
2023-04-04,"Freya Patel","Williams Ltd",13,£10,Yes,Complete,Day,"2023-05-26 13:26:38"
2023-04-04,"Kirsten Cox","Thompson Ltd",10,£12.01,Yes,Complete,Night,"2023-04-27 01:40:33"
2023-04-04,"Leo Murray","Graham Ltd",8,£19,No,Complete,Day,"2023-05-11 00:24:09"
2023-04-04,"Elliot Saunders","Miller Ltd",12,£15,Yes,Complete,Day,"2023-04-17 22:02:57"
2023-04-04,"Freya Patel","Clark Ltd",13,£13.06,Yes,Pending,Day,
2023-04-04,"Isobel Stevens","Bailey Ltd",13,£16,No,Complete,Day,"2023-05-23 10:52:43"
2023-04-04,"Joshua Harris","Rose Ltd",14,£20,Yes,Complete,Day,"2023-05-14 06:24:27"
2023-04-04,"Sofia Palmer","Adams Ltd",13,£20,Yes,Complete,Night,"2023-05-19 05:57:41"
2023-04-04,"Freya Patel","Richards Ltd",12,£11,Yes,Complete,Day,"2023-04-29 04:53:30"
2023-04-04,"Isobel Stevens","Butler Ltd",15,£10,Yes,Complete,Day,"2023-05-10 05:54:14"
2023-04-04,"Mary Bell","Chapman Ltd",5,£19,Yes,Complete,Day,"2023-05-03 23:29:48"
2023-04-04,"Freya Patel","Griffiths Ltd",7,£11.95,Yes,Complete,Day,"2023-05-01 18:32:10"
2023-04-04,"Isabel Baker","Taylor Ltd",8,£15.72,No,Complete,Day,"2023-04-29 01:52:57"
2023-04-04,"Poppy Hill","Rogers Ltd",1,£12,No,Complete,Night,"2023-04-09 17:31:34"
2023-04-04,"Kimberly Richards","Fox Ltd",16,£14,Yes,Complete,Day,"2023-05-01 02:21:10"
2023-04-04,"Michael Bennett","Mason Ltd",4,£11,Yes,Pending,Day,
2023-04-04,"Elliot Saunders","Morris Ltd",7,£17,Yes,Complete,Day,"2023-05-02 18:39:49"
2023-04-04,"Charles Hunt","Smith Ltd",6,£19,Yes,Complete,Day,"2023-04-25 12:02:15"
2023-04-04,"Freddie Scott","Thomas Ltd",1,£11.12,Yes,Processing,Day,
2023-04-04,"Candice Wright","Shaw Ltd",13,£10,Yes,Pending,Day,
2023-04-04,"Eden Parker","Young Ltd",10,£10,Yes,Complete,Day,"2023-05-06 10:41:26"
2023-04-04,"Candice Wright","White Ltd",5,£18,No,Failed,Day,
2023-04-04,"Mason Richards","Knight Ltd",10,£10.18,Yes,Pending,Day,
2023-04-04,"Isabella Reid","Turner Ltd",9,£14,Yes,Complete,Day,"2023-05-18 19:12:15"
2023-04-04,"Kirsten Cox","Simpson Ltd",4,£14.57,Yes,Pending,Night,
2023-04-04,"Dale Chapman","Brown Ltd",12,£19.18,No,Complete,Day,"2023-04-14 07:59:18"
2023-04-04,"Elliot Saunders","King Ltd",16,£16,Yes,Complete,Day,"2023-05-15 16:40:34"
2023-04-04,"Mason Richards","Hughes Ltd",9,£12,Yes,Pending,Day,
2023-04-04,"Sofia Palmer","Lloyd Ltd",16,£12,Yes,Pending,Day,
2023-04-04,"Joshua Harris","Robertson Ltd",14,£15,Yes,Pending,Day,
2023-04-04,"Leo Murray","Rogers Ltd",3,£13,Yes,Pending,Day,
2023-04-04,"Candice Wright","Griffiths Ltd",15,£16.63,No,Pending,Day,
2023-04-04,"Eden Parker","Turner Ltd",10,£10.46,Yes,Pending,Day,
2023-04-04,"Leo Murray","Murray Ltd",13,£12,Yes,Complete,Day,"2023-05-06 03:53:50"
2023-04-04,"Will Wilson","Robinson Ltd",6,£10,Yes,Pending,Day,
2023-04-04,"Abigail Lewis","Stewart Ltd",12,£17,Yes,Complete,Day,"2023-04-18 19:06:38"
2023-04-04,"Sophia Murray","Morgan Ltd",7,£18,Yes,Pending,Day,
2023-04-04,"Kimberly Richards","Fox Ltd",16,£18,Yes,Processing,Day,
2023-04-04,"Isabel Baker","Chapman Ltd",16,£15,Yes,Pending,Night,
2023-04-04,"Isabel Baker","James Ltd",3,£20,Yes,Pending,Day,
2023-04-04,"Kelly Edwards","James Ltd",9,£20,Yes,Processing,Day,
2023-04-04,"Isobel Stevens","James Ltd",1,£18.81,Yes,Complete,Night,"2023-05-20 17:58:45"
2023-04-04,"Bradley Brown","Knight Ltd",12,£16,Yes,Complete,Day,"2023-04-08 05:10:46"
2023-04-04,"Sebastian James","Khan Ltd",5,£13,Yes,Complete,Day,"2023-04-08 23:20:01"
2023-04-04,"Mary Jones","Young Ltd",1,£13,No,Complete,Day,"2023-04-17 19:34:31"
2023-04-04,"Michael Bennett","Davis Ltd",13,£20,Yes,Complete,Day,"2023-05-16 14:18:07"
2023-04-04,"Sebastian James","Clark Ltd",14,£14.37,No,Processing,Day,
2023-04-04,"Shannon Lee","Campbell Ltd",5,£14,Yes,Pending,Day,
2023-04-04,"Mary Jones","Adams Ltd",9,£19,No,Complete,Day,"2023-04-26 02:25:15"
2023-04-04,"Linda Powell","Richards Ltd",4,£12.94,Yes,Pending,Night,
2023-04-04,"Isobel Stevens","Hughes Ltd",14,£18.13,No,Complete,Day,"2023-04-21 05:26:04"
2023-04-04,"Charles Hunt","Chapman Ltd",3,£10.15,Yes,Complete,Day,"2023-05-20 16:43:17"
2023-04-04,"Shannon Lee","Morgan Ltd",3,£15.6,Yes,Pending,Day,
2023-04-04,"Kirsten Cox","Griffiths Ltd",12,£17,Yes,Processing,Day,
2023-04-05,"Kimberly Richards","Campbell Ltd",8,£13,Yes,Complete,Day,"2023-05-23 19:28:30"
2023-04-05,"Oliver Butler","Bailey Ltd",6,£17,Yes,Complete,Night,"2023-04-20 04:56:27"
2023-04-05,"Linda Powell","Cox Ltd",14,£20,Yes,Pending,Day,
2023-04-05,"Isabel Baker","Morgan Ltd",6,£16,Yes,Pending,Night,
2023-04-05,"Sofia Palmer","Parker Ltd",14,£12,Yes,Complete,Day,"2023-04-19 21:29:04"
2023-04-05,"Mohammed Simpson","Clark Ltd",7,£17,Yes,Pending,Day,
2023-04-05,"Mason Richards","Young Ltd",9,£10,Yes,Complete,Night,"2023-04-25 16:19:30"
2023-04-05,"Mason Richards","Chapman Ltd",13,£12,Yes,Complete,Day,"2023-05-19 17:26:50"
2023-04-05,"Dale Chapman","Adams Ltd",13,£18,Yes,Processing,Day,
2023-04-05,"Leo Murray","Butler Ltd",3,£15,Yes,Complete,Day,"2023-04-14 12:01:05"
2023-04-05,"Sofia Palmer","Robinson Ltd",10,£15,Yes,Complete,Day,"2023-05-21 01:09:59"
2023-04-05,"Oliver Butler","Williams Ltd",8,£18.59,No,Pending,Day,
2023-04-05,"Leo Murray","Murray Ltd",2,£13,Yes,Failed,Day,
2023-04-05,"Dale Chapman","James Ltd",1,£14.14,Yes,Pending,Day,
2023-04-05,"Leo Murray","Cox Ltd",13,£14,Yes,Complete,Night,"2023-05-05 11:00:29"
2023-04-05,"Mason Richards","Stewart Ltd",11,£17,No,Complete,Day,"2023-04-18 21:25:50"
2023-04-05,"Sofia Palmer","Ross Ltd",4,£10.81,No,Processing,Day,
2023-04-05,"Isobel Stevens","Mason Ltd",1,£20,Yes,Complete,Day,"2023-04-28 11:54:53"
2023-04-05,"Michael Bennett","Butler Ltd",3,£10,Yes,Complete,Day,"2023-05-10 02:45:47"
2023-04-05,"Eden Parker","Knight Ltd",12,£13.87,Yes,Complete,Day,"2023-04-16 03:12:46"
2023-04-05,"Eden Parker","Khan Ltd",13,£10.68,Yes,Processing,Day,
2023-04-05,"Michael Bennett","Cox Ltd",7,£17,Yes,Complete,Day,"2023-05-29 17:30:20"
